Curso,Unidade de execução,Turno,Turma,Inscritos no turno,Dia da Semana,Início,Fim,Dia,Características da sala pedida para a aula,Sala de aula,Lotação,Características reais da sala
"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA",Língua Espanhola,00670TP02,CI-CT1,23,Seg,11:00:00,13:00:00,11/23/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA",Língua Espanhola,00670TP02,CI-CT1,23,Seg,11:00:00,13:00:00,11/16/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA",Língua Espanhola,00670TP02,CI-CT1,23,Seg,11:00:00,13:00:00,11/9/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA",Língua Espanhola,00670TP02,CI-CT1,23,Seg,11:00:00,13:00:00,11/2/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA",Língua Espanhola,00670TP02,CI-CT1,23,Seg,11:00:00,13:00:00,10/26/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA",Língua Espanhola,00670TP02,CI-CT1,23,Seg,11:00:00,13:00:00,10/19/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
DCCo,Tese em Ciências da Comunicação III,02582PL01,,0,,,,,,Auditório 4,250,"cenas, mais cenas"
MPP,Marketing Político,01714TP01,MPPA1,12,Seg,20:30:00,22:30:00,11/30/2015,Sala Aulas Mestrado,Auditório 4,250,"cenas, mais cenas"
MPP,Marketing Político,01714TP01,MPPA1,12,Seg,20:30:00,22:30:00,11/23/2015,Sala Aulas Mestrado,Auditório 4,250,"cenas, mais cenas"
MPP,Marketing Político,01714TP01,MPPA1,12,Seg,20:30:00,22:30:00,11/16/2015,Sala Aulas Mestrado,Auditório 4,250,"cenas, mais cenas"
MPP,Marketing Político,01714TP01,MPPA1,12,Seg,20:30:00,22:30:00,11/9/2015,Sala Aulas Mestrado,Auditório 4,250,"cenas, mais cenas"
MPP,Marketing Político,01714TP01,MPPA1,12,Seg,20:30:00,22:30:00,11/2/2015,Sala Aulas Mestrado,Auditório 4,250,"cenas, mais cenas"
MPP,Marketing Político,01714TP01,MPPA1,12,Seg,20:30:00,22:30:00,10/26/2015,Sala Aulas Mestrado,Auditório 4,250,"cenas, mais cenas"
MPP,Marketing Político,01714TP01,MPPA1,12,Seg,20:30:00,22:30:00,10/19/2015,Sala Aulas Mestrado,Auditório 4,250,"cenas, mais cenas"
MPP,Marketing Político,01714TP01,MPPA1,12,Seg,20:30:00,22:30:00,10/12/2015,Sala Aulas Mestrado,Auditório 4,250,"cenas, mais cenas"
MPP,Marketing Político,01714TP01,MPPA1,12,Seg,20:30:00,22:30:00,10/5/2015,Sala Aulas Mestrado,Auditório 4,250,"cenas, mais cenas"
MPP,Marketing Político,01714TP01,MPPA1,12,Seg,20:30:00,22:30:00,9/28/2015,Sala Aulas Mestrado,Auditório 4,250,"cenas, mais cenas"
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,Ter,11:00:00,12:30:00,12/15/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,Ter,11:00:00,12:30:00,12/1/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,Ter,11:00:00,12:30:00,11/24/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,Ter,11:00:00,12:30:00,11/17/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,Ter,11:00:00,12:30:00,11/10/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,Ter,11:00:00,12:30:00,11/3/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,Ter,11:00:00,12:30:00,10/27/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,Ter,11:00:00,12:30:00,10/20/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,Ter,11:00:00,12:30:00,10/13/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,Ter,11:00:00,12:30:00,10/6/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,Ter,11:00:00,12:30:00,9/29/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LG,Contabilidade Financeira I,L0638-2T01,GAi,30,Ter,11:00:00,12:30:00,9/22/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LFC,Gestão do Marketing,L1805PL02,FCA3,32,Qui,14:30:00,16:00:00,12/10/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LFC,Gestão do Marketing,L1805PL02,FCA3,32,Qui,14:30:00,16:00:00,12/3/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LFC,Gestão do Marketing,L1805PL02,FCA3,32,Qui,14:30:00,16:00:00,11/26/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LFC,Gestão do Marketing,L1805PL02,FCA3,32,Qui,14:30:00,16:00:00,11/19/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LFC,Gestão do Marketing,L1805PL02,FCA3,32,Qui,14:30:00,16:00:00,11/12/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LFC,Gestão do Marketing,L1805PL02,FCA3,32,Qui,14:30:00,16:00:00,11/5/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LFC,Gestão do Marketing,L1805PL02,FCA3,32,Qui,14:30:00,16:00:00,10/29/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LFC,Gestão do Marketing,L1805PL02,FCA3,32,Qui,14:30:00,16:00:00,10/22/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LFC,Gestão do Marketing,L1805PL02,FCA3,32,Qui,14:30:00,16:00:00,10/15/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LFC,Gestão do Marketing,L1805PL02,FCA3,32,Qui,14:30:00,16:00:00,10/8/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LFC,Gestão do Marketing,L1805PL02,FCA3,32,Qui,14:30:00,16:00:00,10/1/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
LFC,Gestão do Marketing,L1805PL02,FCA3,32,Qui,14:30:00,16:00:00,9/24/2015,Sala de Aulas normal,Auditório 4,250,"cenas, mais cenas"
